id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object,links.self,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,estimated_diameter.miles.estimated_diameter_min,estimated_diameter.miles.estimated_diameter_max,estimated_diameter.feet.estimated_diameter_min,estimated_diameter.feet.estimated_diameter_max,sentry_data
3653390,3653390,(2013 VL),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3653390,27.7,False,"[{'close_approach_date': '2026-05-08', 'close_approach_date_full': '2026-May-08 18:52', 'epoch_date_close_approach': 1778266320000, 'relative_velocity': {'kilometers_per_second': '19.0902236601', 'kilometers_per_hour': '68724.8051764874', 'miles_per_hour': '42702.9213053569'}, 'miss_distance': {'astronomical': '0.3544471998', 'lunar': '137.8799607222', 'kilometers': '53024546.117544426', 'miles': '32947925.1418520388'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3653390?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.0076657557,0.0171411509,7.6657557353,17.1411509231,0.0047632783,0.0106510141,25.1501180466,56.2373735944,
3719730,3719730,(2015 KB57),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3719730,22.3,False,"[{'close_approach_date': '2026-05-08', 'close_approach_date_full': '2026-May-08 13:08', 'epoch_date_close_approach': 1778245680000, 'relative_velocity': {'kilometers_per_second': '21.1447801345', 'kilometers_per_hour': '76121.2084843415', 'miles_per_hour': '47298.758682951'}, 'miss_distance': {'astronomical': '0.1418385499', 'lunar': '55.1751959111', 'kilometers': '21218744.948928713', 'miles': '13184716.7278257194'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3719730?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.0921626549,0.2060819612,92.1626548503,206.0819612321,0.057267201,0.1280533543,302.370924539,676.1219416887,
3143095,3143095,(2002 VU114),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3143095,22.8,False,"[{'close_approach_date': '2026-05-07', 'close_approach_date_full': '2026-May-07 09:36', 'epoch_date_close_approach': 1778146560000, 'relative_velocity': {'kilometers_per_second': '11.1490042524', 'kilometers_per_hour': '40136.4153087534', 'miles_per_hour': '24939.207612264'}, 'miss_distance': {'astronomical': '0.1267532686', 'lunar': '49.3070214854', 'kilometers': '18962018.998097882', 'miles': '11782452.2458474916'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3143095?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.0732073989,0.1636967205,73.2073989347,163.696720474,0.0454889547,0.1017163949,240.181762721,537.0627483999,
3374391,3374391,(2007 HW4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3374391,23.6,False,"[{'close_approach_date': '2026-05-07', 'close_approach_date_full': '2026-May-07 20:15', 'epoch_date_close_approach': 1778184900000, 'relative_velocity': {'kilometers_per_second': '18.3150207484', 'kilometers_per_hour': '65934.0746941741', 'miles_per_hour': '40968.869912055'}, 'miss_distance': {'astronomical': '0.3020236436', 'lunar': '117.4871973604', 'kilometers': '45182093.772199132', 'miles': '28074851.2218947416'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3374391?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.0506471459,0.1132504611,50.6471458835,113.2504610618,0.0314706677,0.0703705522,166.1651821003,371.5566426699,
3799712,3799712,(2018 DT),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3799712,27.1,False,"[{'close_approach_date': '2026-05-07', 'close_approach_date_full': '2026-May-07 03:45', 'epoch_date_close_approach': 1778125500000, 'relative_velocity': {'kilometers_per_second': '17.0427410086', 'kilometers_per_hour': '61353.8676308959', 'miles_per_hour': '38122.9073620975'}, 'miss_distance': {'astronomical': '0.487829343', 'lunar': '189.765614427', 'kilometers': '72978230.63629941', 'miles': '45346569.769015458'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3799712?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.0101054342,0.0225964377,10.1054341542,22.5964377109,0.0062792237,0.0140407711,33.1543125905,74.1352966996,
3461231,3461231,(2009 KR4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3461231,25.0,False,"[{'close_approach_date': '2026-05-06', 'close_approach_date_full': '2026-May-06 12:21', 'epoch_date_close_approach': 1778070060000, 'relative_velocity': {'kilometers_per_second': '12.8245997874', 'kilometers_per_hour': '46168.5592346519', 'miles_per_hour': '28687.3472644424'}, 'miss_distance': {'astronomical': '0.2532564757', 'lunar': '98.5167690473', 'kilometers': '37886629.328426759', 'miles': '23541659.8234129142'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3461231?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.02658,0.0594346868,26.58,59.4346868419,0.0165160412,0.0369309908,87.2047272,194.9956979785,
3763274,3763274,(2016 VB1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3763274,28.57,False,"[{'close_approach_date': '2026-05-06', 'close_approach_date_full': '2026-May-06 20:56', 'epoch_date_close_approach': 1778100960000, 'relative_velocity': {'kilometers_per_second': '18.06666918', 'kilometers_per_hour': '65040.0090481004', 'miles_per_hour': '40413.3322888044'}, 'miss_distance': {'astronomical': '0.4929999126', 'lunar': '191.7769660014', 'kilometers': '73751736.835146162', 'miles': '45827204.2336625556'}, 'orbiting_body': 'Earth'}]",True,http://api.nasa.gov/neo/rest/v1/neo/3763274?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.0051351718,0.0114825932,5.1351717866,11.482593191,0.0031908468,0.0071349504,16.8476770045,37.6725510449,http://api.nasa.gov/neo/rest/v1/neo/sentry/3763274?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR
3843898,3843898,(2019 SX),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843898,29.6,False,"[{'close_approach_date': '2026-05-06', 'close_approach_date_full': '2026-May-06 23:58', 'epoch_date_close_approach': 1778111880000, 'relative_velocity': {'kilometers_per_second': '29.1603883618', 'kilometers_per_hour': '104977.3981024368', 'miles_per_hour': '65228.8727264836'}, 'miss_distance': {'astronomical': '0.4886895273', 'lunar': '190.1002261197', 'kilometers': '73106912.375386851', 'miles': '45426528.8939305038'}, 'orbiting_body': 'Earth'}]",True,http://api.nasa.gov/neo/rest/v1/neo/3843898?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.0031956189,0.007145621,3.1956188672,7.1456210173,0.0019856649,0.0044400817,10.4843142043,23.4436392583,http://api.nasa.gov/neo/rest/v1/neo/sentry/3843898?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR
3532401,3532401,(2010 MS1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3532401,21.89,False,"[{'close_approach_date': '2026-05-05', 'close_approach_date_full': '2026-May-05 07:25', 'epoch_date_close_approach': 1777965900000, 'relative_velocity': {'kilometers_per_second': '18.5068442359', 'kilometers_per_hour': '66624.6392492602', 'miles_per_hour': '41397.9598712972'}, 'miss_distance': {'astronomical': '0.4017526379', 'lunar': '156.2817761431', 'kilometers': '60101338.896721273', 'miles': '37345240.2686206474'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3532401?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.1113153296,0.2489086439,111.3153296083,248.908643942,0.0691681177,0.154664613,365.2077859922,816.6294353908,
3654644,3654644,(2013 XS23),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3654644,26.3,False,"[{'close_approach_date': '2026-05-05', 'close_approach_date_full': '2026-May-05 15:38', 'epoch_date_close_approach': 1777995480000, 'relative_velocity': {'kilometers_per_second': '8.0837105929', 'kilometers_per_hour': '29101.3581345781', 'miles_per_hour': '18082.4522253438'}, 'miss_distance': {'astronomical': '0.2367739807', 'lunar': '92.1050784923', 'kilometers': '35420883.184141109', 'miles': '22009516.2157969442'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3654644?api_key=YufD5SZ1NI8rkoxKKwedalfesDhXX6LcDZLDiDtR,0.0146067964,0.0326617897,14.6067964271,32.6617897446,0.0090762397,0.020295089,47.92256199,107.1581062656,
